Win Prob,Loss Prob,Tie Prob
0.455245,0.482194,0.0721848
0.416667,0.49053,0.10322
0.424242,0.478983,0.0967742
0.446139,0.484271,0.0772164
0.426923,0.484615,0.0923077
0.426214,0.493204,0.0834951
0.444444,0.465887,0.0935673
0.41537,0.498054,0.0914397
0.403733,0.516699,0.0825147
0.436893,0.475728,0.0883495
0.433723,0.463938,0.107212
0.425144,0.480806,0.0988484
0.434995,0.497556,0.0723363
0.42788,0.49274,0.0842207
0.426901,0.489279,0.0877193
0.444773,0.4714,0.0857988
0.385811,0.504373,0.111759
0.428848,0.474347,0.103582
0.439024,0.48,0.0839024
0.410853,0.496124,0.0959302
0.418605,0.508721,0.0784884
0.413926,0.500967,0.0880077
0.412104,0.502402,0.0902978
0.458937,0.461836,0.0888889
0.448039,0.467647,0.0872549
0.444874,0.497099,0.0667311
0.419011,0.492726,0.0911736
0.451644,0.462282,0.0880077
0.403304,0.485909,0.118562
0.418762,0.489362,0.0957447
0.427175,0.508309,0.0684262
0.415058,0.497104,0.0926641
0.451456,0.469903,0.0854369
0.459748,0.455868,0.0882638
0.411591,0.504912,0.0834971
0.43065,0.477207,0.0979631
0.460488,0.453659,0.0868293
0.431862,0.474088,0.0988484
0.445419,0.492203,0.0692008
0.421053,0.505848,0.0779727
0.431373,0.480392,0.0911765
0.442927,0.460488,0.0985366
0.430097,0.487379,0.0883495
0.421875,0.5,0.0810547
0.418041,0.490786,0.0960233
0.427746,0.488439,0.0867052
0.428432,0.49075,0.0847128
0.431487,0.45967,0.109815
0.421663,0.496132,0.089942
0.448343,0.481481,0.0740741
0.44152,0.473684,0.0896686
0.44894,0.471098,0.0847784
0.430244,0.497561,0.0760976
0.429126,0.462136,0.108738
0.427043,0.487354,0.0894942
0.434489,0.478805,0.0905588
0.439024,0.48878,0.075122
0.44358,0.468872,0.0904669
0.41537,0.505837,0.0817121
0.444015,0.476834,0.0820463
0.430934,0.469844,0.10214
0.434275,0.48296,0.0856865
0.435996,0.477382,0.0904716
0.425144,0.494242,0.0863724
0.430097,0.482524,0.0912621
0.446809,0.457447,0.101547
0.424658,0.491194,0.0870841
0.429688,0.481445,0.0917969
0.433526,0.470135,0.100193
0.457926,0.450098,0.0949119
0.431353,0.499513,0.0740019
0.433431,0.47036,0.0971817
0.428431,0.468627,0.105882
0.447674,0.472868,0.0804264
0.407407,0.515595,0.082846
0.411594,0.494686,0.0966184
0.446498,0.465953,0.094358
0.444337,0.46757,0.0909971
0.420643,0.494645,0.0866602
0.446169,0.467507,0.0902037
0.432302,0.492263,0.0793037
0.44186,0.472868,0.0872093
0.427053,0.495652,0.0792271
0.401552,0.510184,0.0911736
0.429672,0.493256,0.0857418
0.45,0.469608,0.0813725
0.419669,0.502434,0.0847128
0.441035,0.473634,0.0901246
0.411594,0.508213,0.0859903
0.445841,0.458414,0.102515
0.439806,0.469903,0.092233
0.419167,0.49274,0.090029
0.441205,0.478134,0.0816327
0.44605,0.470135,0.0876686
0.455348,0.44946,0.0981354
0.429688,0.466797,0.106445
0.42345,0.49031,0.0920543
0.423564,0.486855,0.0954236
0.417154,0.488304,0.0994152
0.403475,0.517375,0.0888031
0.412162,0.503861,0.0916988
0.44888,0.476144,0.0749757
0.418945,0.501953,0.0810547
0.452775,0.44888,0.101266
0.44227,0.47456,0.0861057
0.439143,0.465433,0.0983447
0.433723,0.476608,0.0925926
0.424155,0.485024,0.0937198
