transmitted,absorbed,fissioned
0.0014,0.8546,0.144
0.0016,0.8614,0.137
0.0008,0.869,0.1302
0.002,0.8608,0.1372
0.0022,0.8568,0.141
0.001,0.8616,0.1374
0.0016,0.8596,0.1388
0.0006,0.8634,0.136
0.0024,0.86,0.1376
0.001,0.8646,0.1344
0.002,0.8516,0.1464
0.0018,0.8556,0.1426
0.0026,0.8542,0.1432
0.0028,0.8578,0.1394
0.002,0.8654,0.1326
0.0022,0.8606,0.1372
0.001,0.85,0.149
0.0014,0.8642,0.1344
0.0018,0.863,0.1352
0.002,0.8622,0.1358
0.0016,0.8546,0.1438
0.001,0.8502,0.1488
0.0024,0.8624,0.1352
0.0026,0.8548,0.1426
0.002,0.8606,0.1374
0.0028,0.8622,0.135
0.0018,0.8592,0.139
0.0014,0.8578,0.1408
0.0012,0.8578,0.141
0.0012,0.8578,0.141
0.0016,0.8596,0.1388
0.0012,0.8552,0.1436
0.0032,0.8538,0.143
0.0012,0.8584,0.1404
0.003,0.855,0.142
0.002,0.8542,0.1438
0.001,0.8452,0.1538
0.0028,0.8654,0.1318
0.001,0.8594,0.1396
0.0018,0.853,0.1452
0.0014,0.8666,0.132
0.0026,0.8712,0.1262
0.002,0.8636,0.1344
0.0024,0.8558,0.1418
0.001,0.8592,0.1398
0.0028,0.8582,0.139
0.0024,0.8544,0.1432
0.0018,0.859,0.1392
0.0014,0.8598,0.1388
0.0022,0.8568,0.141
0.0014,0.865,0.1336
0.0018,0.8562,0.142
0.0016,0.8582,0.1402
0.0022,0.8548,0.143
0.0014,0.8608,0.1378
0.0018,0.8538,0.1444
0.0016,0.8584,0.14
0.002,0.857,0.141
0.0012,0.8576,0.1412
0.0014,0.8634,0.1352
0.0024,0.8626,0.135
0.0016,0.8654,0.133
0.0024,0.8632,0.1344
0.001,0.864,0.135
0.0002,0.8566,0.1432
0.0012,0.8564,0.1424
0.0024,0.8616,0.136
0.0016,0.8612,0.1372
0.0026,0.8546,0.1428
0.0016,0.849,0.1494
0.0016,0.8686,0.1298
0.0028,0.8542,0.143
0.002,0.8608,0.1372
0.0008,0.87,0.1292
0.001,0.8594,0.1396
0.0024,0.8524,0.1452
0.002,0.8566,0.1414
0.0016,0.8676,0.1308
0.0036,0.8638,0.1326
0.0024,0.8612,0.1364
0.0016,0.864,0.1344
0.0018,0.8616,0.1366
0.0016,0.8576,0.1408
0.0018,0.8578,0.1404
0.0026,0.8582,0.1392
0.0022,0.862,0.1358
0.0022,0.8652,0.1326
0.002,0.8562,0.1418
0.0022,0.861,0.1368
0.003,0.8556,0.1414
0.0016,0.8632,0.1352
0.0022,0.853,0.1448
0.002,0.8628,0.1352
0.001,0.856,0.143
0.0038,0.8578,0.1384
0.0014,0.8596,0.139
0.002,0.862,0.136
0.0008,0.8618,0.1374
0.0012,0.8564,0.1424
0.0028,0.8622,0.135
0.0016,0.853,0.1454
0.0018,0.8566,0.1416
0.0014,0.8498,0.1488
0.0014,0.857,0.1416
0.0022,0.854,0.1438
0.0014,0.8692,0.1294
0.0012,0.8622,0.1366
0.0014,0.8634,0.1352
0.0006,0.862,0.1374
0.0028,0.8608,0.1364
0.0012,0.8598,0.139
0.0018,0.8622,0.136
0.0024,0.8494,0.1482
0.0018,0.8642,0.134
0.0012,0.8562,0.1426
0.0012,0.865,0.1338
0.0014,0.8562,0.1424
0.0016,0.866,0.1324
0.0016,0.8562,0.1422
0.0026,0.8608,0.1366
0.0024,0.8598,0.1378
0.0024,0.8622,0.1354
0.0014,0.8656,0.133
0.0008,0.8612,0.138
0.0022,0.867,0.1308
0.0008,0.8636,0.1356
0.0022,0.8622,0.1356
0.0018,0.8524,0.1458
0.0026,0.856,0.1414
0.0018,0.8594,0.1388
0.0022,0.8628,0.135
0.0024,0.8578,0.1398
0.0016,0.8636,0.1348
0.0016,0.861,0.1374
0.0028,0.8634,0.1338
0.0018,0.8626,0.1356
0.0026,0.854,0.1434
0.0018,0.851,0.1472
0.0022,0.8658,0.132
0.0016,0.859,0.1394
0.0018,0.8646,0.1336
0.0026,0.8656,0.1318
0.0014,0.8554,0.1432
0.001,0.8538,0.1452
0.0026,0.8622,0.1352
0.0016,0.8662,0.1322
0.002,0.8634,0.1346
0.0018,0.8602,0.138
0.0012,0.8568,0.142
0.0022,0.851,0.1468
0.0014,0.8618,0.1368
0.0018,0.8522,0.146
0.002,0.8512,0.1468
0.0026,0.8538,0.1436
0.002,0.8548,0.1432
0.0024,0.8508,0.1468
0.0028,0.856,0.1412
0.0016,0.8652,0.1332
0.003,0.8526,0.1444
0.0018,0.8668,0.1314
0.0016,0.8534,0.145
0.0018,0.8528,0.1454
0.001,0.8652,0.1338
0.0014,0.864,0.1346
0.0012,0.8602,0.1386
0.0016,0.8698,0.1286
0.0026,0.859,0.1384
0.0028,0.8666,0.1306
0.0012,0.8666,0.1322
0.003,0.8506,0.1464
0.0014,0.8598,0.1388
0.0016,0.8662,0.1322
0.0018,0.8572,0.141
0.001,0.8536,0.1454
0.0006,0.8588,0.1406
0.0028,0.8528,0.1444
0.0022,0.859,0.1388
0.0014,0.858,0.1406
0.001,0.8534,0.1456
0.0022,0.8528,0.145
0.0006,0.8586,0.1408
0.003,0.859,0.138
0.0018,0.8588,0.1394
0.0018,0.8582,0.14
0.0016,0.8576,0.1408
0.0016,0.8584,0.14
0.0022,0.8638,0.134
0.0014,0.8564,0.1422
0.0012,0.8508,0.148
0.002,0.8592,0.1388
0.0016,0.8604,0.138
0.0014,0.8652,0.1334
0.0026,0.856,0.1414
0.002,0.854,0.144
0.002,0.8658,0.1322
0.0016,0.8616,0.1368
0.0022,0.865,0.1328
0.0024,0.8604,0.1372
0.002,0.8548,0.1432
0.001,0.8618,0.1372
0.0016,0.8536,0.1448
0.0012,0.859,0.1398
0.0016,0.8572,0.1412
0.0008,0.8622,0.137
0.002,0.8548,0.1432
0.0028,0.8588,0.1384
0.001,0.8616,0.1374
0.002,0.8488,0.1492
0.0022,0.8594,0.1384
0.002,0.8654,0.1326
0.0022,0.8692,0.1286
0.0016,0.8566,0.1418
0.0024,0.8634,0.1342
0.0016,0.859,0.1394
0.0018,0.8636,0.1346
0.0018,0.8566,0.1416
0.0016,0.8642,0.1342
0.0012,0.859,0.1398
0.002,0.8552,0.1428
0.0028,0.8532,0.144
0.0022,0.8608,0.137
0.002,0.8688,0.1292
0.0016,0.8558,0.1426
0.0038,0.8586,0.1376
0.0014,0.8566,0.142
0.0024,0.8632,0.1344
0.0022,0.8592,0.1386
0.0008,0.8732,0.126
0.002,0.8594,0.1386
0.0018,0.8594,0.1388
0.002,0.8584,0.1396
0.003,0.8626,0.1344
0.0014,0.8596,0.139
0.0014,0.8558,0.1428
0.001,0.8612,0.1378
0.0012,0.8558,0.143
0.0018,0.8596,0.1386
0.0016,0.86,0.1384
0.0016,0.8498,0.1486
0.0014,0.8592,0.1394
0.0022,0.865,0.1328
0.0024,0.8594,0.1382
0.0014,0.862,0.1366
0.0022,0.8574,0.1404
0.0024,0.8624,0.1352
0.0016,0.854,0.1444
0.0016,0.8542,0.1442
0.0022,0.8642,0.1336
0.0022,0.851,0.1468
0.0016,0.8584,0.14
